x	y
1532	837
1670	893
1720	898
1602	941
1501	948
1450	954
1647	968
1850	988
1828	1040
1355	1043
1739	1051
1541	1057
1256	1058
1867	1062
1410	1065
1659	1079
1321	1086
1928	1086
1280	1088
1614	1106
1606	1112
1910	1117
1714	1121
1676	1127
1373	1132
1770	1136
1672	1137
1153	1143
1777	1143
1373	1150
1456	1156
1188	1174
1401	1184
1206	1185
1279	1188
1285	1194
1706	1198
1532	1208
1537	1221
1574	1224
1688	1224
1696	1231
1326	1249
1659	1261
1229	1260
1233	1265
1240	1267
1623	1267
1053	1269
1246	1269
1221	1268
1217	1277
1067	1280
1233	1270
1228	1293
1234	1289
1489	1300
1681	1304
1198	1307
1239	1313
1615	1317
1475	1342
1318	1342
1573	1350
1466	1349
1585	1354
1571	1370
1145	1371
1578	1377
1397	1379
1494	1388
1086	1394
1499	1401
1545	1404
1120	1415
1135	1413
1613	1413
1127	1421
1070	1430
905	1441
965	1459
1103	1461
1437	1464
1271	1466
1414	1467
1086	1481
1093	1487
1116	1500
1109	1499
1423	1560
1364	1561
1549	1562
1012	1577
1538	1579
1178	1601
1007	1620
1270	1642
1318	1645
1326	1652
1449	1688
1266	1774
1326	1774
1332	1781
1218	1792
1374	1816
1310	1813
1310	1818
